i,claim,scores,average,std_dev,skipped
892,"We must be a libertarian; right or left, right or wrong","[2, 3, 3, 3, 1]",2.4,0.64,0
893,We must believe in the woman's right to choose,"[4, 4, 4, 4, 4]",4.0,0.0,0
894,We must bring back corporal punishment,"[2, 2, 2, 2, 3]",2.2,0.16,0
895,We must colonize moon,"[3, 3, 4, 3, 3]",3.2,0.16,0
896,We must disband NATO,"[2, 2, 2, 2, 2]",2.0,0.0,0
897,We must enable free movement of labour across Africa to alleviate poverty disparities.,"[3, 4, 4, 3, 3]",3.4,0.24,0
898,We must enforce term limits on the legislative branch of government,"[5, 3, 3, 3, 3]",3.4,0.64,0
899,We must extend NATO membership to Georgia and Ukraine,"[4, 3, 4, 4, 4]",3.8,0.16,0
900,We must grant those diagnosed with terminal illnesses the right to access treatments that have not completed clinical testing,"[2, 5, 2, 3, 3]",3.0,1.2,0
901,We must have a criminal DNA database,"[2, 5, 3, 3, 3]",3.2,0.96,0
902,We must have weapons inspectors leave Syria,"[3, 2, 2, 2, 4]",2.6,0.64,0
903,We must hold a referendum on UK membership in the EU,"[4, 5, 3, 3, 4]",3.8,0.56,0
904,We must hold all U.S. presidential primaries on the same day,"[2, 2, 3, 3, 3]",2.6,0.24,0
905,We must invade and forcibly reunify the Korean peninsula,"[1, 3, 1, 2, 1]",1.6,0.64,0
906,We must legalize the use of cell phones in cars,"[3, 3, 3, 3, 4]",3.2,0.16,0
907,We must let Catalan hold an independence referendum,"[4, 4, 5, 4, 4]",4.2,0.16,0
908,We must limit anonymous contributions from corporations and individuals to super PACs,"[4, 3, 4, 3, 5]",3.8,0.56,0
909,We must negotiate with terrorists,"[3, 3, 3, 2, 3]",2.8,0.16,0
910,We must support public service broadcasters,"[4, 4, 4, 4, 3]",3.8,0.16,0
911,We must support the Scottish Independence,"[3, 3, 5, 3, 5]",3.8,0.96,0
912,We must support the use of truth and reconciliation commissions,"[4, 4, 4, 3, 4]",3.8,0.16,0
913,We must use Unmanned Aerial Vehicles to strike terrorist targets,"[2, 2, 2, 2, 2]",2.0,0.0,0
914,We should abolish speed cameras,"[2, 2, 2, 2, 2]",2.0,0.0,0
915,We should allow death penalty for the worst of the worst criminals,"[2, 3, 2, 2, 4]",2.6,0.64,0
916,We should allow military recruiting in schools,"[3, 3, 2, 1, 2]",2.2,0.56,0
917,We should ban the church of scientology,"[1, 2, 2, 2, 3]",2.0,0.4,0
918,We should ban the depiction of smoking in films,"[2, 3, 5, 3, 4]",3.4,1.04,0
919,We should ban the muslim veil,"[2, 2, 2, 2, 2]",2.0,0.0,0
920,We should be free to express our religion as we wish,"[4, 4, 4, 4, 4]",4.0,0.0,0
921,We should be investing in public transport,"[5, 4, 4, 4, 4]",4.2,0.16,0
922,We should be trying to avoid contact with aliens.,"[2, 2, 3, 2, 2]",2.2,0.16,0
923,We should believe in corporal punishment for adult offenders,"[2, 2, 2, 4, 2]",2.4,0.64,0
924,We should build new nuclear power plants,"[3, 3, 3, 3, 3]",3.0,0.0,0
925,We should detain terror suspects without trial,"[2, 1, 1, 1, 2]",1.4,0.24,0
926,We should directly elect city mayors,"[3, 4, 1, 3, 3]",2.8,0.96,0
927,We should dramatically increase the rate of income tax paid by the rich,"[3, 5, 4, 4, 4]",4.0,0.4,0
928,We should drop the sanctions against Cuba.,"[4, 3, 3, 3, 3]",3.2,0.16,0
929,We should encourage building the Hyperloop,"[4, 4, 4, 4, 5]",4.2,0.16,0
930,We should encourage increased use of referendums,"[3, 3, 3, 3, 3]",3.0,0.0,0
931,We should expand NATO,"[3, 3, 4, 3, 4]",3.4,0.24,0
932,We should fear the power of government over the Internet,"[3, 2, 1, 1, 2]",1.8,0.56,0
933,We should force feed sufferers of Anorexia Nervosa,"[2, 2, 1, 1, 1]",1.4,0.24,0
934,We should give cash to the poor to reduce poverty,"[4, 4, 4, 4, 4]",4.0,0.0,0
935,We should give money to beggars,"[3, 3, 4, 3, 3]",3.2,0.16,0
936,We should legalise the growing of coca leaf,"[3, 3, 3, 3, 1]",2.6,0.64,0
937,We should legalize drugs,"[3, 3, 3, 3, 2]",2.8,0.16,0
938,We should limit the right to bear arms,"[2, 2, 2, 2, 3]",2.2,0.16,0
939,We should make education compulsory to degree level,"[4, 3, 3, 3, 3]",3.2,0.16,0
940,We should make new years resolutions,"[4, 3, 4, 4, 4]",3.8,0.16,0
941,We should not slaughter animals which have not been stunned first.,"[5, 4, 4, 4, 4]",4.2,0.16,0
942,We should prize freedom over security and abolish anti-terrorism legislation,"[2, 2, 1, 1, 2]",1.6,0.24,0
943,We should pull out of the Article 98 Agreements that prevent US soldiers from being sent to the ICC for trial,"[1, 1, 2, 2, 2]",1.6,0.24,0
944,We should restrict violent video games,"[3, 2, 2, 3, 2]",2.4,0.24,0
945,We should show more compassion to drug addicts,"[4, 4, 4, 4, 3]",3.8,0.16,0
946,We should support enforcing term limits on the executive branch of government,"[4, 3, 4, 3, 4]",3.6,0.24,0
947,We should support the creation of a Free Trade Area of the Americas,"[5, 4, 3, 3, 4]",3.8,0.56,0
948,We should support universal basic income,"[4, 4, 4, 3, 4]",3.8,0.16,0
949,We should use torture to obtain information from suspected terrorists,"[1, 1, 2, 2, 2]",1.6,0.24,0
950,We support the New START Treaty,"[4, 4, 4, 4, 4]",4.0,0.0,0
951,Western companies have to incentivised to build software that provides anonymity to those involved in uprisings,"[5, 1, 3, 3, 3]",3.0,1.6,0
952,Western democracies should openly try to circumvent Internet censorship in oppressive regimes,"[4, 4, 5, 4, 4]",4.2,0.16,0
953,Western universities should only place satellites in states that respect free speech,"[3, 4, 3, 4, 4]",3.6,0.24,0
954,Widen the East African Community,"[5, 4, 3, 5, 3]",4.0,0.8,0
955,Wikileaks is a threat to national security,"[2, 2, 2, 2, 2]",2.0,0.0,0
956,Wikileaks is not and has never been a non-profit organization,"[2, 2, 2, 2, 3]",2.2,0.16,0
957,Wikipedia is a force for good,"[3, 3, 3, 5, 3]",3.4,0.64,0
958,Wind farms are a good solution to the energy crisis,"[4, 4, 3, 4, 4]",3.8,0.16,0
959,Wind power should be a primary focus of future energy supply.,"[4, 4, 4, 4, 4]",4.0,0.0,0
960,Winning the Champions League Is Better Than Winning the Premier League,"[1, 2, 3, 3, 4]",2.6,1.04,0
961,Wire-tapped and ‘intercepted’ evidence must be allowed as admissible in court,"[1, 1, 3, 3, 2]",2.0,0.8,0
962,Women are the key to Africa’s economic future,"[5, 4, 3, 5, 3]",4.0,0.8,0
963,Women should be allowed on the front line,"[4, 4, 4, 4, 4]",4.0,0.0,0
964,Women should be allowed to take part in combat,"[4, 3, 4, 3, 3]",3.4,0.24,0
965,Workers in the Transport Sectors Should Be Banned From Going On Strike,"[2, 4, 2, 3, 2]",2.6,0.64,0
966,Working from home is better for companies than maintaining an office,"[3, 4, 2, 2, 1]",2.4,1.04,0
967,World War III is inevitable,"[2, 2, 3, 4, 1]",2.4,1.04,0
968,You have nothing to worry about surveillance if you have done nothing wrong,"[3, 3, 3, 3, 3]",3.0,0.0,0
969,You should always suspend directly delivered foreign development aid,"[2, 4, 2, 4, 2]",2.8,0.96,0
970,You should join Facebook,"[2, 4, 5, 2, 3]",3.2,1.36,0
971,You should never have children,"[2, 2, 2, 2, 2]",2.0,0.0,0
972,governments should choose open source software in order to encourage its use,"[4, 4, 4, 4, 4]",4.0,0.0,0
973,permit the use of performance enhancing drugs in professional sports,"[5, 3, 2, 3, 2]",3.0,1.2,0
974,physical fitness is better than mental fitness,"[1, 3, 2, 3, 1]",2.0,0.8,0
975,politicians have no right to privacy,"[4, 2, 1, 2, 2]",2.2,0.96,0
976,punishment should fit the criminal,"[4, 5, 4, 4, 4]",4.2,0.16,0
977,social networking sites should be banned at the workplaces,"[1, 3, 2, 2, 3]",2.2,0.56,0
978,"the teacher is always right, even when s/he is not.","[2, 2, 2, 3, 3]",2.4,0.24,0
979,‘The Spear’ should have remained on public display.,"[3, 3, 3, 3, 4]",3.2,0.16,0
